SparkleIndex,SparkleTerm,Cui,UmlsCanonicalName,ChosenMethod,ChosenScore,Types
1447,Scotoma,C0036454,Scotoma,alias,0.0,"[""T033""]"
1448,Scratch Test,C0430562,Scratch test,alias,0.0,"[""T060""]"
1452,Scrotal Abscess,C0238418,Abscess of scrotum,alias,0.0,"[""T047""]"
1453,Sclerotherapy,C0036435,Sclerotherapy,alias,0.0,"[""T061""]"
1457,Scoliosis,C0036439,"Scoliosis, unspecified",alias,0.0,"[""T047""]"
1458,Scoliosis Surgery,C0854477,scoliosis surgery,alias,0.0,"[""T061""]"
1460,Scleritis,C0036416,Scleritis,alias,0.0,"[""T047""]"
1461,Scleroderma,C0011644,Scleroderma,alias,0.0,"[""T047""]"
1462,Sclerosing Cholangitis,C0566602,Primary sclerosing cholangitis,alias,0.0,"[""T047""]"
1463,Sclerosing Epithelioid Fibrosarcoma,C1710026,Sclerosing Epithelioid Fibrosarcoma,alias,0.0,"[""T191""]"
1465,Schwannoma,C0027809,Neurilemmoma,alias,0.0,"[""T191""]"
1466,Schwannomatosis,C1335929,Schwannomatosis,alias,0.0,"[""T191""]"
1467,Sciatica,C0036396,Sciatica,alias,0.0,"[""T184""]"
1468,Scimitar Syndrome,C0036400,Scimitar Syndrome,alias,0.0,"[""T047""]"
1469,Schistosomiasis,C0036323,Schistosomiasis,alias,0.0,"[""T047""]"
1470,Schizencephaly,C0266484,Schizencephaly,alias,0.0,"[""T019""]"
1472,School Physical,C0262624,school physical,alias,0.0,"[""T060""]"
1477,Scar Revision,C0561923,Revision of scar,alias,0.0,"[""T061""]"
1478,Scarlet Fever,C0036285,Scarlet Fever,alias,0.0,"[""T047""]"
1479,Scheuermanns Disease,C0036310,Scheuermann's Disease,alias,0.0,"[""T047""]"
1482,Scaly Skin,C0423773,Scaly skin,alias,0.0,"[""T184""]"
1483,Scaphoid Fracture,C0272654,Fracture of scaphoid bone of wrist,alias,0.0,"[""T037""]"
1484,Scapula Fracture,C0159667,Fracture of scapula,alias,0.0,"[""T037""]"
1488,Sarcosporidiosis,C0036231,Sarcocystosis,alias,0.0,"[""T047""]"
1489,Scab,C0205204,Scab,alias,0.0,"[""T020""]"
1490,Scabies,C0036262,Scabies <infestation>,alias,0.0,"[""T047""]"
1491,Scalp Psoriasis,C0406326,Psoriasis of scalp,alias,0.0,"[""T047""]"
1493,Sapho Syndrome,C0263859,"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",alias,0.0,"[""T047""]"
1494,Sarcoidosis,C0036202,Sarcoidosis,alias,0.0,"[""T047""]"
1495,Sarcoma,C1261473,Sarcoma,alias,0.0,"[""T191""]"
1496,Sarcoma Botryoides,C1306573,Botryoid-Type Embryonal Rhabdomyosarcoma,alias,0.0,"[""T191""]"
1502,Salmonella Infection,C0036117,Salmonella infections,alias,0.0,"[""T047""]"
1503,Salpingo-Oophoritis,C0036133,Tubo-ovarian inflammatory disease,alias,0.0,"[""T047""]"
1507,Saethre-Chotzen Syndrome,C0175699,Saethre-Chotzen Syndrome,alias,0.0,"[""T047""]"
1509,Saint Louis Encephalitis,C0014060,"Encephalitis, St. Louis",alias,0.0,"[""T047""]"
1511,Salivary Gland Disorders,C0036093,Salivary Gland Diseases,alias,0.0,"[""T047""]"
1512,Salivary Gland Swelling,C0240925,Swelling of salivary gland,alias,0.0,"[""T033""]"
1514,Sacrococcygeal Teratoma,C0559459,Sacrococcygeal teratoma,alias,0.0,"[""T191""]"
1518,Sacroiliitis,C0574960,Sacroiliitis,alias,0.0,"[""T047""]"
1522,Russell Silver Syndrome,C0175693,Russell-Silver syndrome,alias,0.0,"[""T047""]"
1523,Sacral Dimples,C0426848,Sacral dimple,alias,0.0,"[""T033""]"
1525,Rubinstein-Taybi Syndrome,C0035934,Rubinstein-Taybi Syndrome,alias,0.0,"[""T047""]"
1526,Rumination Syndrome,C0154575,Rumination Disorders,alias,0.0,"[""T048""]"
1528,Rupture Of Papillary Muscle,C0155713,Rupture of papillary muscle,alias,0.0,"[""T046""]"
1529,Ruptured Aneurysm,C0162869,"Aneurysm, Ruptured",alias,0.0,"[""T047""]"
1532,Round Cell Liposarcoma,C0206634,"Liposarcoma, Myxoid",alias,0.0,"[""T191""]"
1534,Roux-En-Y Bypass,C0002804,Roux-en-Y Anastomosis,alias,0.0,"[""T061""]"
1537,Rubella,C0035920,Rubella,alias,0.0,"[""T047""]"
1539,Rotator Cuff Impingement,C0376685,Shoulder Impingement Syndrome,alias,0.0,"[""T047""]"
1540,Rotator Cuff Injury,C0851122,Rotator Cuff Injuries,alias,0.0,"[""T037""]"
1541,Rotator Cuff Repair,C0186666,Repair of musculotendinous cuff of shoulder,alias,0.0,"[""T061""]"
1542,Rotator Cuff Tear,C5399759,Rotator Cuff Tears,alias,0.0,"[""T033""]"
1543,Rotavirus,C0035870,Rotavirus,alias,0.0,"[""T005""]"
1544,Rosai Dorfman Disease,C0019625,Sinus histiocytosis,alias,0.0,"[""T047""]"
1545,Roseola,C0015231,Exanthema Subitum,alias,0.0,"[""T047""]"
1548,Rotational Atherectomy,C0162655,Rotational Atherectomy,alias,0.0,"[""T061""]"
1556,Rosacea,C0035854,Rosacea,alias,0.0,"[""T047""]"
1576,Robertsonian Translocation,C0333715,Robertsonian translocation,alias,0.0,"[""T049""]"
1582,Right Ventricular Hypertrophy,C0162770,Right Ventricular Hypertrophy,alias,0.0,"[""T047""]"
1587,Ridged Nails,C0423820,Ridged nails,alias,0.0,"[""T033""]"
1588,Right Bundle Branch Block,C0085615,Right bundle branch block,alias,0.0,"[""T047""]"
1589,Right Heart Catheterization,C0189896,Catheterization of right heart,alias,0.0,"[""T060""]"
1590,Right Heart Failure,C0235527,"Heart Failure, Right-Sided",alias,0.0,"[""T047""]"
1591,Right Lower Quadrant Pain,C0694551,Right lower quadrant pain,alias,0.0,"[""T184""]"
1592,Right Upper Quadrant Pain,C0235299,Right upper quadrant pain,alias,0.0,"[""T184""]"
1593,Rhizotomy,C0282615,Rhizotomy procedure,alias,0.0,"[""T061""]"
1596,Rib Fracture,C0035522,Rib Fractures,alias,0.0,"[""T037""]"
1598,Rickets,C0035579,Rickets,alias,0.0,"[""T047""]"
1599,Rhinophyma,C0035466,Rhinophyma,alias,0.0,"[""T047""]"
1600,Rhinoplasty,C0035467,rhinoplasty,alias,0.0,"[""T061""]"
1602,Rhinorrhea,C1260880,Rhinorrhea,alias,0.0,"[""T184""]"
1603,Rhinoscleroma,C0035468,Rhinoscleroma,alias,0.0,"[""T047""]"
1604,Rhinosporidiosis,C0035469,Rhinosporidiosis,alias,0.0,"[""T047""]"
1605,Rheumatoid Arthritis,C0003873,Rheumatoid Arthritis,alias,0.0,"[""T047""]"
1607,Rheumatoid Lung,C0994344,Rheumatoid lung disease,alias,0.0,"[""T047""]"
1608,Rheumatoid Nodules,C0035450,Rheumatoid Nodule,alias,0.0,"[""T020""]"
1610,Rhinitis,C0035455,Rhinitis,alias,0.0,"[""T047""]"
1611,Rheumatic Fever,C0035436,Rheumatic Fever,alias,0.0,"[""T047""]"
1612,Rheumatic Heart Disease,C0035439,Rheumatic Heart Disease,alias,0.0,"[""T047""]"
1616,Rhabdomyolysis,C0035410,Rhabdomyolysis,alias,0.0,"[""T046""]"
1617,Rhabdomyoma,C0035411,Rhabdomyoma,alias,0.0,"[""T191""]"
1618,Rhabdomyosarcoma,C0035412,Rhabdomyosarcoma,alias,0.0,"[""T191""]"
1624,Rett Syndrome,C0035372,Rett Syndrome,alias,0.0,"[""T047""]"
1625,Reye Syndrome,C0035400,Reye Syndrome,alias,0.0,"[""T047""]"
1626,Rh Incompatibility,C1504421,Rh Incompatibility,alias,0.0,"[""T046""]"
1627,Rhabdoid Tumor Of The Kidney,C0854917,Rhabdoid Tumor of the Kidney,alias,0.0,"[""T191""]"
1628,Rhabdoid Tumor Predisposition Syndrome,C2985524,Rhabdoid tumor predisposition syndrome,alias,0.0,"[""T047""]"
1629,Retroperitoneal Fibrosis,C0035357,Retroperitoneal fibrosis,alias,0.0,"[""T047""]"
1631,Retroperitoneal Mass,C0267771,Retroperitoneal mass,alias,0.0,"[""T047""]"
1632,Retroperitoneal Sarcoma,C0585129,Retroperitoneal sarcoma,alias,0.0,"[""T191""]"
1634,Retropharyngeal Abscess,C0155843,Retropharyngeal Abscess,alias,0.0,"[""T047""]"
1635,Retinal Vein Occlusion,C0035328,Retinal Vein Occlusion,alias,0.0,"[""T047""]"
1636,Retinitis Pigmentosa,C0035334,Retinitis Pigmentosa,alias,0.0,"[""T047""]"
1637,Retinoblastoma,C0035335,Retinoblastoma,alias,0.0,"[""T191""]"
1638,Retinopathy Of Prematurity,C0035344,Retinopathy of Prematurity,alias,0.0,"[""T047""]"
1639,Retinoschisis,C0152439,Retinoschisis,alias,0.0,"[""T047""]"
1641,Retinal Degeneration,C0035304,Retinal Degeneration,alias,0.0,"[""T046""]"
1642,Retinal Detachment,C0035305,Retinal Detachment,alias,0.0,"[""T047""]"
1643,Retinal Dysplasia,C0035313,Retinal Dysplasia,alias,0.0,"[""T019""]"
1645,Retinal Neovascularization,C0035320,Retinal Neovascularization,alias,0.0,"[""T046""]"
1646,Retinal Tear,C0035321,Retinal Perforations,alias,0.0,"[""T047""]"
1648,Restrictive Lung Disease,C0085581,Restrictive lung disease,alias,0.0,"[""T047""]"
1649,Restylane,C1101698,Restylane,alias,0.0,"[""T109"", ""T121""]"
1654,Respiratory Syncytial Virus,C0035236,Respiratory syncytial virus,alias,0.0,"[""T005""]"
1655,Respite Care,C0035247,Respite care of patient,alias,0.0,"[""T058""]"
1657,Rest Pain,C0234253,Pain at rest,alias,0.0,"[""T184""]"
1658,Restless Legs Syndrome,C0035258,Restless Legs Syndrome,alias,0.0,"[""T047""]"
1659,Restrictive Cardiomyopathy,C0007196,Restrictive cardiomyopathy,alias,0.0,"[""T047""]"
1661,Reproductive Endocrinology,C1514865,Reproductive Endocrinology discipline,alias,0.0,"[""T091""]"
1662,Reproductive Health,C0242667,Reproductive Health,alias,0.0,"[""T091""]"
1665,Respiratory Distress Syndrome,C0035220,"Respiratory Distress Syndrome, Newborn",alias,0.0,"[""T047""]"
1666,Respiratory Failure,C1145670,Respiratory Failure,alias,0.0,"[""T047""]"
1670,Repetitive Stress Injury,C0035127,Cumulative Trauma Disorders,alias,0.0,"[""T047""]"
1686,Repair Of Cystocele,C1261300,Repair of cystocele,alias,0.0,"[""T061""]"
1698,Renal Tubular Acidosis,C0001126,Renal tubular acidosis,alias,0.0,"[""T047""]"
1702,Renovascular Hypertension,C0020545,"Hypertension, Renovascular",alias,0.0,"[""T047""]"
1704,Renal Mass,C0262613,Renal mass,alias,0.0,"[""T033""]"
1705,Renal Metastases,C0153685,Secondary malignant neoplasm of kidney,alias,0.0,"[""T191""]"
1706,Renal Obstruction,C0748324,renal obstruction,alias,0.0,"[""T047""]"
1707,Renal Osteodystrophy,C0035086,Renal Osteodystrophy,alias,0.0,"[""T047""]"
1708,Renal Pelvis Carcinoma,C1335749,Renal Pelvis Carcinoma,alias,0.0,"[""T191""]"
1712,Renal Failure,C0035078,Kidney Failure,alias,0.0,"[""T047""]"
1713,Renal Hypertension,C0020544,Renal hypertension,alias,0.0,"[""T047""]"
1714,Renal Hypoplasia,C0266295,Congenital hypoplasia of kidney,alias,0.0,"[""T019""]"
1715,Renal Insufficiency,C1565489,Renal Insufficiency,alias,0.0,"[""T047""]"
1717,Renal Cortical Necrosis,C0022656,Kidney Cortex Necrosis,alias,0.0,"[""T047""]"
1721,Renal Disease,C0022658,Kidney Diseases,alias,0.0,"[""T047""]"
1723,Renal Artery Disease,C3640053,Renal Artery Disease,alias,0.0,"[""T047""]"
1726,Renal Artery Stenosis,C0035067,Renal Artery Stenosis,alias,0.0,"[""T047""]"
1729,Renal Colic,C0152169,Renal Colic,alias,0.0,"[""T184""]"
1734,Renal Artery Angioplasty,C1282893,Angioplasty renal artery,alias,0.0,"[""T061""]"
1752,Relapsing Fever,C0035021,Relapsing Fever,alias,0.0,"[""T047""]"
1759,Rejuvenation,C0035016,Rejuvenation,alias,0.0,"[""T061""]"
1760,Refractive Surgery,C1274010,Surgical ocular refractive procedure,alias,0.0,"[""T061""]"
1761,Refractory Anemia With Excess Blasts,C0002894,Refractory anaemia with excess blasts,alias,0.0,"[""T191""]"
1764,Regenerative Medicine,C1257974,Regenerative Medicine,alias,0.0,"[""T091""]"
1765,Regional Enteritis,C0010346,Crohn Disease,alias,0.0,"[""T047""]"
1766,Reflex Sympathetic Dystrophy,C0034931,Reflex Sympathetic Dystrophy,alias,0.0,"[""T047""]"
1767,Reflux Nephropathy,C3495566,Reflux nephropathy (disorder),alias,0.0,"[""T047""]"
1769,Refractive Amblyopia,C0152190,Refractive amblyopia,alias,0.0,"[""T047""]"
1770,Refractive Errors,C0034951,Refractive Errors,alias,0.0,"[""T047""]"
1776,Redundant Prepuce,C0345325,Redundant prepuce,alias,0.0,"[""T019""]"
1778,Recurrent Thyroid Cancer,C0278861,Recurrent Thyroid Carcinoma,alias,0.0,"[""T191""]"
1779,Recurrent Urinary Tract Infection,C0262655,Recurrent urinary tract infection,alias,0.0,"[""T047""]"
1780,Red Blood Cell Disorders,C0221016,Red blood cell disorder,alias,0.0,"[""T047""]"
1782,Red Eye,C0235267,Redness of eye,alias,0.0,"[""T184""]"
1785,Recurrent Hernia,C0281961,Recurrent Hernia,alias,0.0,"[""T020""]"
1786,Recurrent Infections,C0239998,Recurrent infections,alias,0.0,"[""T033""]"
1792,Recurrent Breast Cancer,C0278493,Recurrent Breast Carcinoma,alias,0.0,"[""T191""]"
1793,Recurrent Cervical Cancer,C0278579,Recurrent Cervical Carcinoma,alias,0.0,"[""T191""]"
1794,Recurrent Colorectal Cancer,C0854750,Recurrent Colorectal Carcinoma,alias,0.0,"[""T191""]"
1797,Rectal Prolapse,C0034888,Rectal Prolapse,alias,0.0,"[""T047""]"
1798,Rectal Squamous Cell Carcinoma,C1335690,Squamous cell carcinoma of rectum,alias,0.0,"[""T191""]"
1800,Rectocele,C0149771,Rectocele,alias,0.0,"[""T020""]"
1801,Rectovaginal Fistula,C0034895,Rectovaginal Fistula,alias,0.0,"[""T190""]"
1804,Rectal Fistula,C0034884,Rectal Fistula,alias,0.0,"[""T190""]"
1805,Rectal Hemorrhage,C0267596,Rectal hemorrhage,alias,0.0,"[""T046""]"
1806,Rectal Mass,C0240873,Rectal mass,alias,0.0,"[""T033""]"
1807,Rectal Pain,C0034886,Rectal pain,alias,0.0,"[""T184""]"
1808,Rectal Polyp,C0034887,Rectal polyp,alias,0.0,"[""T191""]"
1811,Rectal Abscess,C0149770,Rectal abscess,alias,0.0,"[""T046""]"
1813,Rectal Bleeding,C0267596,Rectal hemorrhage,alias,0.0,"[""T046""]"
1814,Rectal Cancer,C0007113,Rectal Carcinoma,alias,0.0,"[""T191""]"
1820,Reconstructive Plastic Surgery,C4763957,Reconstructive Plastic Surgery,alias,0.0,"[""T061""]"
1822,Receptive Aphasia,C0454578,Receptive aphasia (finding),alias,0.0,"[""T048""]"
1828,Rathke Cleft Cysts,C0752244,Rathke Cleft Cysts,alias,0.0,"[""T019""]"
1829,Raynauds Disease,C0034734,Raynaud Disease,alias,0.0,"[""T047""]"
1830,Rb1 Gene,C0694889,RB1 gene,alias,0.0,"[""T028""]"
1831,Reactive Airway Disease,C3714497,Reactive airway disease,alias,0.0,"[""T047""]"
1832,Reactive Arthritis,C0085435,"Arthritis, Reactive",alias,0.0,"[""T047""]"
1836,Rash,C0302295,Eruptions,alias,0.0,"[""T046""]"
1837,Rasmussen Syndrome,C0393484,Rasmussen Syndrome,alias,0.0,"[""T047""]"
1840,Rat Bite Fever,C0034686,Rat-Bite Fever,alias,0.0,"[""T047""]"
1843,Radionuclide Therapy,C0203608,Radionuclide therapy,alias,0.0,"[""T061""]"
1844,Radioulnar Synostosis,C0158761,Radioulnar Synostosis,alias,0.0,"[""T019""]"
1846,Ramsay Hunt Syndrome,C0017409,Herpes Zoster Oticus,alias,0.0,"[""T047""]"
1848,Radiofrequency Ablation,C0850292,Radiofrequency Ablation,alias,0.0,"[""T061""]"
1855,Radical Trachelectomy,C2095755,Radical Trachelectomy,alias,0.0,"[""T061""]"
1856,Radical Vulvectomy,C0177252,Radical vulvectomy,alias,0.0,"[""T061""]"
1857,Radiculopathy,C0700594,Radiculopathy,alias,0.0,"[""T047""]"
1858,Radioembolization,C2985560,Radioembolization,alias,0.0,"[""T061""]"
1861,Radical Hysterectomy,C2987682,Radical hysterectomy,alias,0.0,"[""T061""]"
1863,Radical Neck Dissection,C0034542,Radical Neck Dissection,alias,0.0,"[""T061""]"
1864,Radical Prostatectomy,C0194810,Radical prostatectomy,alias,0.0,"[""T061""]"
1865,Radiation Injury,C0034530,Radiation injury,alias,0.0,"[""T037""]"
1866,Radiation Necrosis,C1963737,Radiation Necrosis,alias,0.0,"[""T037""]"
1867,Radiation Nephropathy,C4054127,Radiation Nephropathy,alias,0.0,"[""T047""]"
1868,Radiation Pneumonitis,C0206063,Radiation Pneumonitis,alias,0.0,"[""T037""]"
1869,Radiation Proctitis,C0400827,Radiation proctitis,alias,0.0,"[""T046""]"
1871,Radiation Toxicity,C1510432,Radiation Sickness,alias,0.0,"[""T037""]"
1877,Radiation Boost,C2919491,Boost radiation therapy (procedure),alias,0.0,"[""T061""]"
1878,Radiation Cystitis,C0156270,Irradiation cystitis,alias,0.0,"[""T047""]"
1886,Radial Fracture,C0034628,Radius Fractures,alias,0.0,"[""T037""]"
1887,Radial Head Subluxation,C0149977,Subluxation of radial head,alias,0.0,"[""T037""]"
1888,Radial Nerve Injury,C0161459,Injury of radial nerve,alias,0.0,"[""T037""]"
1889,Quadriceps Tendon Repair,C0547072,Repair of quadriceps,alias,0.0,"[""T061""]"
1890,Quadricepsplasty,C0188107,Quadricepsplasty,alias,0.0,"[""T061""]"
1891,Quadriplegia,C0034372,Quadriplegia,alias,0.0,"[""T047""]"
1894,Rabies,C0034494,Rabies (disorder),alias,0.0,"[""T047""]"
1895,Rabies Vaccination,C0042205,Rabies vaccination,alias,0.0,"[""T061""]"
1897,Pyoderma Gangrenosum,C0085652,Pyoderma Gangrenosum,alias,0.0,"[""T047""]"
1898,Pyogenic Granuloma,C0085653,Pyogenic granuloma,alias,0.0,"[""T191""]"
1899,Pyuria,C0034359,Pyuria,alias,0.0,"[""T033""]"
1901,Q Fever,C0034362,Q Fever,alias,0.0,"[""T047""]"
1903,Quadrantectomy,C0337354,Quadrantectomy of breast,alias,0.0,"[""T061""]"
1905,Pyelitis,C0034183,Pyelitis,alias,0.0,"[""T047""]"
1906,Pyelonephritis,C0034186,Pyelonephritis,alias,0.0,"[""T047""]"
1907,Pyeloplasty,C0554139,Pyeloplasty,alias,0.0,"[""T061""]"
1908,Pyeloscopy,C0176990,Pyeloscopy,alias,0.0,"[""T060""]"
1909,Pyelostomy,C0194121,Pyelostomy,alias,0.0,"[""T061""]"
1910,Pyloric Stenosis,C0034194,Pyloric Stenosis,alias,0.0,"[""T046""]"
1911,Pyloromyotomy,C2004488,Pyloromyotomy,alias,0.0,"[""T061""]"
1912,Pyloroplasty,C0192489,Pyloroplasty,alias,0.0,"[""T061""]"
1913,Pulmonic Valve Replacement,C0190129,Replacement of pulmonary valve,alias,0.0,"[""T061""]"
1914,Pulsatile Tinnitus,C0751559,Pulsatile Tinnitus,alias,0.0,"[""T047""]"
1915,Pulsed Dye Laser,C1289859,Pulsed Dye Lasers,alias,0.0,"[""T074""]"
1918,Pure Red Cell Aplasia,C0034902,Pure Red-Cell Aplasia,alias,0.0,"[""T047""]"
1919,Purpura,C0034150,Purpura,alias,0.0,"[""T047""]"
1920,Pustule,C0241157,pustule,alias,0.0,"[""T033""]"
1923,Pulmonary Valve Insufficiency,C0034088,Pulmonary Valve Insufficiency,alias,0.0,"[""T046""]"
1924,Pulmonary Valve Stenosis,C0034089,Pulmonary Valve Stenosis,alias,0.0,"[""T047""]"
1926,Pulmonary Vein Stenosis,C0340756,"Stenosis, Pulmonary Vein",alias,0.0,"[""T047""]"
1927,Pulmonary Veno Occlusive Disease,C0034091,Pulmonary Veno-Occlusive Disease (disorder),alias,0.0,"[""T047""]"
1931,Pulmonary Metastases,C0153676,Secondary malignant neoplasm of lung,alias,0.0,"[""T191""]"
1932,Pulmonary Nodule,C0034079,Nodule of lung,alias,0.0,"[""T033""]"
1933,Pulmonary Rehabilitation,C0199529,Pulmonary rehabilitation (procedure),alias,0.0,"[""T061""]"
1937,Pulmonary Edema,C0034063,Pulmonary Edema,alias,0.0,"[""T046""]"
1938,Pulmonary Embolism,C0034065,Pulmonary Embolism,alias,0.0,"[""T046""]"
1939,Pulmonary Fibrosis,C0034069,Pulmonary Fibrosis,alias,0.0,"[""T047""]"
1941,Pulmonary Granuloma,C0235557,Pulmonary granuloma,alias,0.0,"[""T033""]"
1942,Pulmonary Hemorrhage,C0151701,Pulmonary hemorrhage,alias,0.0,"[""T046""]"
1943,Pulmonary Hemosiderosis,C0020807,Idiopathic pulmonary hemosiderosis,alias,0.0,"[""T047""]"
1944,Pulmonary Hypertension,C0020542,Pulmonary Hypertension,alias,0.0,"[""T046""]"
1949,Pulmonary Coccidioidomycosis,C0153257,Primary pulmonary coccidioidomycosis,alias,0.0,"[""T047""]"
1951,Pulmonary Congestion,C0242073,Pulmonary congestion,alias,0.0,"[""T047""]"
1952,Pudendal Neuralgia,C1997249,Pudendal Neuralgia,alias,0.0,"[""T047""]"
1953,Pulmonary Alveolar Proteinosis,C0034050,Pulmonary Alveolar Proteinosis,alias,0.0,"[""T047""]"
1956,Pulmonary Arterial Hypertension,C2973725,Pulmonary arterial hypertension,alias,0.0,"[""T047""]"
1959,Pulmonary Artery Stenosis,C0238397,Pulmonary artery stenosis,alias,0.0,"[""T190""]"
1962,Pterygium,C0033999,Pterygium,alias,0.0,"[""T047""]"
1964,Ptosis Repair,C0197280,Repair of blepharoptosis,alias,0.0,"[""T061""]"
1965,Pubic Fracture,C0347806,Fracture of pubis,alias,0.0,"[""T037""]"
1966,Pubic Lice,C0030759,Infestation by Phthirus pubis,alias,0.0,"[""T047""]"
1967,Pubic Symphysis,C0034015,Symphysis pubis structure,alias,0.0,"[""T030""]"
1968,Psychiatric Disorder,C0004936,Mental disorders,alias,0.0,"[""T048""]"
1969,Psycho Oncology,C4505070,Psycho-Oncology,alias,0.0,"[""T091""]"
1971,Psychological Assessment,C0204452,Psychological assessment,alias,0.0,"[""T060""]"
1973,Psychomotor Agitation,C3887612,Psychomotor Agitation,alias,0.0,"[""T033""]"
1974,Psychotherapy,C0033968,Psychotherapy,alias,0.0,"[""T061""]"
1976,Pseudotumor Cerebri,C0033845,Pseudotumor Cerebri,alias,0.0,"[""T047""]"
1978,Psoriasis,C0033860,Psoriasis,alias,0.0,"[""T047""]"
1980,Psoriatic Arthritis,C0003872,"Arthritis, Psoriatic",alias,0.0,"[""T047""]"
1981,Psorospermiasis,C0153327,Psorospermiasis,alias,0.0,"[""T047""]"
1982,Pseudohypoaldosteronism Type 1,C0268436,"Pseudohypoaldosteronism, Type I",alias,0.0,"[""T047""]"
1983,Pseudohypoparathyroidism,C0033806,Pseudohypoparathyroidism,alias,0.0,"[""T047""]"
1984,Pseudomembranous Conjunctivitis,C0155144,Pseudomembranous conjunctivitis,alias,0.0,"[""T047""]"
1985,Pseudomyxoma Peritonei,C0033822,Pseudomyxoma Peritonei,alias,0.0,"[""T191""]"
1986,Pseudophakia,C0587046,Artificial lens present (finding),alias,0.0,"[""T033""]"
1988,Pseudostrabismus,C0730504,Pseudostrabismus,alias,0.0,"[""T047""]"
1990,Pseudoaneurysm,C1510412,Pseudoaneurysm,alias,0.0,"[""T046""]"
1991,Pseudoexfoliation Glaucoma,C0206368,Exfoliation Syndrome,alias,0.0,"[""T047""]"
1992,Pseudoexfoliation Syndrome,C0206368,Exfoliation Syndrome,alias,0.0,"[""T047""]"
1993,Pseudofolliculitis Barbae,C0549150,Pseudofolliculitis barbae (disorder),alias,0.0,"[""T047""]"
1994,Pseudogout,C0553730,Calcium pyrophosphate deposition disease,alias,0.0,"[""T047""]"
1995,Pseudohermaphroditism,C0033804,Pseudohermaphroditism,alias,0.0,"[""T019""]"
1996,Prurigo,C0033771,Prurigo,alias,0.0,"[""T047""]"
1997,Prurigo Nodularis,C0263353,Prurigo nodularis,alias,0.0,"[""T047""]"
1999,Pruritus,C4321528,Pruritus -- quality,alias,0.0,"[""T080""]"
2000,Pruritus Ani,C0033775,Pruritus Ani,alias,0.0,"[""T184""]"
2001,Psammomatous Meningioma,C0334607,Psammomatous Meningioma,alias,0.0,"[""T191""]"
2002,Protoporphyria,C0162568,Erythropoietic Protoporphyria,alias,0.0,"[""T047""]"
2003,Proximal Femoral Osteotomy,C0407482,Osteotomy of proximal femur,alias,0.0,"[""T061""]"
2008,Prune Belly Syndrome,C0033770,Prune Belly Syndrome,alias,0.0,"[""T047""]"
2010,Protein Calorie Malnutrition,C0033677,Protein-Energy Malnutrition,alias,0.0,"[""T046""]"
2011,Protein Losing Enteropathy,C0033680,Protein-Losing Enteropathies,alias,0.0,"[""T047""]"
2012,Proteinuria,C0033687,Proteinuria,alias,0.0,"[""T033""]"
2013,Proteus Syndrome,C0085261,Proteus Syndrome,alias,0.0,"[""T191""]"
2014,Proton Beam Therapy,C0436226,Proton Therapy,alias,0.0,"[""T061""]"
2015,Prosthetic Eye,C0015417,Ocular Prosthesis,alias,0.0,"[""T074""]"
2017,Prosthetic Joint Infection,C0410808,Prosthetic joint infection,alias,0.0,"[""T047""]"
2023,Prostatectomy,C0033573,Prostatectomy,alias,0.0,"[""T061""]"
2025,Prostatic Hypertrophy,C1739363,Prostatic Hypertrophy,alias,0.0,"[""T047""]"
2026,Prostatitis,C0033581,prostatitis,alias,0.0,"[""T047""]"
2027,Prostate Cancer Screening,C0281186,Screening for Prostate Cancer,alias,0.0,"[""T061""]"
2028,Prostate Disease,C0033575,Prostatic Diseases,alias,0.0,"[""T047""]"
2029,Prostate Examination,C0919654,prostate exam,alias,0.0,"[""T060""]"
2030,Prostate Infection,C0240811,Prostatic Infection,alias,0.0,"[""T047""]"
2033,Prostate Nodule,C0033579,Prostate nodule,alias,0.0,"[""T047""]"
2034,Prostate Cancer,C0600139,Prostate carcinoma,alias,0.0,"[""T191""]"
2040,Pronation,C0033421,Pronation,alias,0.0,"[""T040""]"
2042,Prophylactic Oophorectomy,C2945703,Prophylactic oophorectomy,alias,0.0,"[""T061""]"
2043,Proptosis,C0015300,Exophthalmos,alias,0.0,"[""T047""]"
2046,Progressive Supranuclear Palsy,C0038868,Progressive supranuclear palsy,alias,0.0,"[""T047""]"
2047,Prolactinoma,C0033375,Prolactinoma,alias,0.0,"[""T191""]"
2049,Proliferative Arthritis,C0003873,Rheumatoid Arthritis,alias,0.0,"[""T047""]"
2051,Prolymphocytic Leukemia,C0023486,Prolymphocytic Leukemia,alias,0.0,"[""T191""]"
2053,Proctoscopy,C0033251,Proctoscopy,alias,0.0,"[""T060""]"
2054,Proctosigmoidoscopy,C0037075,Sigmoidoscopy (procedure),alias,0.0,"[""T060""]"
2058,Progressive Muscular Atrophy,C0917981,Progressive Muscular Atrophy,alias,0.0,"[""T047""]"
2059,Progressive Myoclonic Epilepsy,C0751778,"Myoclonic Epilepsies, Progressive",alias,0.0,"[""T047""]"
2060,Prinzmetals Angina,C0002963,"Angina Pectoris, Variant",alias,0.0,"[""T047""]"
2062,Proctectomy,C0193062,Rectum excision (procedure),alias,0.0,"[""T061""]"
2063,Proctitis,C0033246,Proctitis,alias,0.0,"[""T047""]"
2064,Proctocolectomy,C0400076,Proctocolectomy,alias,0.0,"[""T061""]"
